Disease,Crop,Description,Symptoms,Organic_Remedy,Chemical_Remedy,Prevention,Season,Region
Pepper__bell___Bacterial_spot,Bell Pepper,"Bacterial disease caused by Xanthomonas campestris pv. vesicatoria. Causes water-soaked spots on leaves, fruits, and stems that become necrotic.","Small, water-soaked spots on leaves that enlarge and turn brown; raised spots on fruits; leaf yellowing and drop","Copper-based sprays, neem oil, garlic extract, biocontrol with Bacillus subtilis","Copper hydroxide @ 2g/L, Streptocycline @ 0.1g/L, Kasugamycin @ 2g/L","Use disease-free seeds, crop rotation, avoid overhead irrigation, field sanitation","Warm, humid conditions",All pepper growing regions
Pepper__bell___healthy,Bell Pepper,Healthy pepper plants with no disease symptoms.,"Vigorous growth, green leaves, normal fruit development","Maintain soil health with compost, regular monitoring",No chemical treatment needed,"Continue good agricultural practices, regular inspection",All seasons,All regions
Potato___Early_blight,Potato,Fungal disease caused by Alternaria solani. Characterized by target-like concentric rings on leaves.,"Dark brown spots with concentric rings on older leaves, yellow halos, defoliation","Neem oil spray, Trichoderma application, compost tea","Chlorothalonil @ 2g/L, Mancozeb @ 2.5g/L, Azoxystrobin @ 1ml/L","Use certified seeds, proper spacing, balanced fertilization, remove infected leaves","Warm, humid weather",Potato growing areas worldwide
Potato___Late_blight,Potato,"Devastating fungal disease caused by Phytophthora infestans. Spreads rapidly in cool, wet conditions.","Water-soaked lesions on leaves, white fungal growth underside, rapid plant collapse","Copper-based fungicides, baking soda spray, proper drainage","Metalaxyl + Mancozeb @ 2g/L, Dimethomorph @ 0.5ml/L, Cymoxanil @ 2g/L","Use resistant varieties, avoid waterlogging, destroy infected plants, crop rotation","Cool, wet conditions",Temperate regions
Potato___healthy,Potato,Healthy potato plants with normal growth and development.,"Healthy foliage, proper tuber formation, no disease signs",Regular organic manure application,No treatment needed,"Maintain soil health, proper irrigation, weed control",All seasons,All regions
Tomato_Bacterial_spot,Tomato,"Bacterial disease caused by Xanthomonas species. Affects leaves, stems, and fruits.","Small, dark, water-soaked spots with yellow halos, leaf curling, fruit lesions","Copper sprays, neem oil, biocontrol agents","Copper oxychloride @ 3g/L, Streptocycline @ 0.1g/L","Use treated seeds, avoid working with wet plants, proper spacing","Warm, rainy weather",All tomato growing areas
Tomato_Early_blight,Tomato,Fungal disease caused by Alternaria solani. Common in tomato cultivation worldwide.,"Concentric ring spots on leaves, stem cankers, fruit rot at stem end","Neem oil @ 3%, Trichoderma harzianum, compost tea","Chlorothalonil @ 2g/L, Mancozeb @ 2.5g/L, Azoxystrobin @ 1ml/L","Crop rotation, resistant varieties, remove lower leaves, proper nutrition","Warm, humid conditions",Global distribution
Tomato_Late_blight,Tomato,Serious fungal disease caused by Phytophthora infestans. Can destroy entire crop quickly.,"Large, water-soaked lesions, white mold growth, rapid wilting, fruit rot","Copper fungicides, potassium bicarbonate, proper ventilation","Metalaxyl + Mancozeb @ 2g/L, Fosetyl-Al @ 2.5g/L","Avoid overhead irrigation, use resistant varieties, early detection","Cool, wet weather",Temperate and subtropical regions
Tomato_Leaf_Mold,Tomato,Fungal disease caused by Passalora fulva. Thrives in high humidity conditions.,"Yellow spots on upper leaf surface, olive-green mold underside, leaf curling","Baking soda spray, milk solution, proper ventilation","Chlorothalonil @ 2g/L, Thiophanate-methyl @ 1g/L","Reduce humidity, proper spacing, greenhouse ventilation",High humidity periods,Greenhouse and high rainfall areas
Tomato_Septoria_leaf_spot,Tomato,Fungal disease caused by Septoria lycopersici. Characterized by numerous small spots.,"Small, circular spots with dark borders and gray centers, yellowing, defoliation","Copper spray, sulfur dust, neem oil","Chlorothalonil @ 2g/L, Mancozeb @ 2.5g/L","Crop rotation, remove infected debris, avoid overhead watering","Warm, wet weather",All tomato growing regions
Tomato_Spider_mites_Two_spotted_spider_mite,Tomato,Pest infestation by Tetranychus urticae. Not a disease but included in dataset.,"Fine webbing, stippling on leaves, yellowing, reduced plant vigor","Neem oil, insecticidal soap, predatory mites","Abamectin @ 1ml/L, Spiromesifen @ 0.5ml/L","Maintain humidity, avoid water stress, regular monitoring","Hot, dry conditions",Worldwide distribution
Tomato__Target_Spot,Tomato,Fungal disease caused by Corynespora cassiicola. Creates target-like lesions.,"Concentric ring spots on leaves and fruits, leaf drop, fruit lesions","Copper fungicides, baking soda spray","Chlorothalonil @ 2g/L, Azoxystrobin @ 1ml/L","Proper spacing, avoid overhead irrigation, remove infected leaves","Warm, humid weather",Tropical and subtropical areas
Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato,Viral disease transmitted by whiteflies. Causes severe stunting and yield loss.,"Upward leaf curling, yellowing, stunted growth, reduced fruit size","Neem oil for whitefly control, reflective mulches",Imidacloprid @ 0.3ml/L for vector control,"Use resistant varieties, whitefly management, remove infected plants",All seasons where whiteflies are active,Tropical and subtropical regions
Tomato__Tomato_mosaic_virus,Tomato,Viral disease causing mosaic patterns on leaves. Spreads through contact.,"Mosaic patterns on leaves, leaf distortion, stunted growth, fruit discoloration","No cure; remove infected plants, disinfect tools",No effective chemical treatment,"Use virus-free seeds, disinfect tools, control weeds, hand washing",All seasons,Worldwide distribution
Tomato_healthy,Tomato,Healthy tomato plants with no disease symptoms.,"Vigorous growth, dark green leaves, normal flowering and fruiting","Regular organic inputs, balanced nutrition",No treatment needed,"Continue good agricultural practices, regular monitoring",All seasons,All regions
